team_name,budget_eur,budget_eur_millions,season,stadium_capacity
Bayern Munich,850000000,850.0,2023/2024,75024
Borussia Dortmund,520000000,520.0,2023/2024,81365
Bayer Leverkusen,380000000,380.0,2023/2024,30210
RB Leipzig,390000000,390.0,2023/2024,47069
VfB Stuttgart,210000000,210.0,2023/2024,60449
Eintracht Frankfurt,240000000,240.0,2023/2024,58000
Union Berlin,160000000,160.0,2023/2024,22012
Werder Bremen,140000000,140.0,2023/2024,42100
Augsburg,125000000,125.0,2023/2024,30660
Borussia Mönchengladbach,170000000,170.0,2023/2024,54042
VfL Wolfsburg,190000000,190.0,2023/2024,28917
SC Freiburg,155000000,155.0,2023/2024,34700
TSG Hoffenheim,165000000,165.0,2023/2024,30150
1. FC Heidenheim,75000000,75.0,2023/2024,15000
VfL Bochum,85000000,85.0,2023/2024,26000
1. FSV Mainz 05,120000000,120.0,2023/2024,33305
1. FC Köln,110000000,110.0,2023/2024,50000
SV Darmstadt 98,65000000,65.0,2023/2024,17810
